Year,Date,Type,Description,LinkURL,LinkText
2017,April 12,Performance,Cal Arts Grad Recital,https://video.ibm.com/recorded/102047943,watch 
2017,November 28,Album,FunCoffin 2 ,https://christianasplund.bandcamp.com/album/funcoffin-2,listen
2017,January 25,Video ,Bright Whistles: Homeward Bound,https://youtu.be/0YLlP_f89nk,watch
2017,May 1,Video ,Bright Whistles at Redcat,https://youtu.be/Hp1YZfQlqVc,watch
2017,August 29,,Bly Wallantine: God of Death,https://blywallentine.bandcamp.com/album/god-of-death,listen
2017,June 16,Album,Snow Nerds: Gup Life,https://orendarecords.bandcamp.com/album/gup-life,listen
2016,January 6,performance,Similar Fashion: Words Aren't Things,https://youtu.be/BitV6EmsOs0,watch
2016,October 5,,Similar Fashion at Hollow Earth Radio,https://www.youtube.com/watch?v=05yH6i97h-4&t=1157s,watch
2016,February 3,,Ear Meal w/ Logan Hone,https://www.youtube.com/watch?v=CzB1H4lLWQw&t=1010s,watch
2016,November 19,performance ,Eyvind Kang: Sonic Gnostic at Redcat (excerpt) ,https://www.youtube.com/watch?v=1omULGNsJAU,watch
2016,2016,,Giant Frame: music for tiger in a jar ,https://vimeo.com/132779173,listen
2015,August 2,Album,Stuart Wheeler and Jesse QT: TWO,https://dirtyprovo.bandcamp.com/album/two,bandcamp
2015,June 18,Album,Bright Whistles: White Bristles,https://brightwhistles.bandcamp.com/album/white-bristles,bandcamp
2015,February 19,Album,WITHAM : Generative ,https://witham.bandcamp.com/album/generative,bandcamp
2015,April 10,Album,Quiet House,https://thisisaquiethouse.bandcamp.com/album/quiet-house-2,bandcamp
2015,February 24,Performance,Bricolage by Nate Witham,https://www.youtube.com/watch?v=yz_kPd-QysE,watch
2014,*********,2014 and beyond,archives--,https://soundcloud.com/jesse-nicholas-quebbeman-turley,listen
2014,,,FunCoffin ,https://christianasplund.bandcamp.com/album/funcoffin,listen
2014,,,Christian Asplund: Ghost Speech,https://www.youtube.com/watch?v=eBFc3e1DLaw,watch
2014,,,"Why We Work, a Bike Opera ",https://www.youtube.com/watch?v=uQs5-mEgIU0,watch
2014,,,Bright Whistles: other live recordings ,https://brightwhistles.bandcamp.com/album/other-live-recordings-2011-2013,listen
2014,,,misc avant garawge,https://www.youtube.com/watch?v=ec7MKVWgLUA,watch
2014,,,,https://www.youtube.com/watch?v=lhpw-87aYgM&list=PLk7egcFwQcw4pJMdcEZZie357Z5HsNhT-&index=23,watch
2014,,,,https://www.youtube.com/watch?v=RuFLyO7Xgiw&list=PLk7egcFwQcw4pJMdcEZZie357Z5HsNhT-&index=25,watch


